multi_query_id,query_id,selected_plans,total_cost
0,0,q_0_0,-4697.0
0,1,"q_0_1,q_0_10,q_0_11,q_0_12,q_0_13,q_0_15,q_0_18",-4697.0
0,2,"q_0_2,q_0_20",-4697.0
0,3,q_0_3,-4697.0
0,4,q_0_4,-4697.0
0,5,q_0_5,-4697.0
0,6,q_0_6,-4697.0
0,7,q_0_7,-4697.0
1,0,q_1_0,-4697.0
1,1,"q_1_1,q_1_10,q_1_11,q_1_13,q_1_14,q_1_17",-4697.0
1,2,q_1_2,-4697.0
1,4,q_1_4,-4697.0
1,5,q_1_5,-4697.0
1,6,q_1_6,-4697.0
1,7,q_1_7,-4697.0
2,0,q_2_0,-4697.0
2,1,"q_2_1,q_2_10,q_2_12,q_2_13,q_2_14,q_2_15,q_2_16,q_2_17,q_2_19",-4697.0
2,2,q_2_2,-4697.0
2,4,q_2_4,-4697.0
2,5,q_2_5,-4697.0
2,6,q_2_6,-4697.0
2,7,q_2_7,-4697.0
3,0,q_3_0,-4697.0
3,1,"q_3_1,q_3_10,q_3_12,q_3_14,q_3_17",-4697.0
3,2,q_3_2,-4697.0
3,3,q_3_3,-4697.0
3,5,q_3_5,-4697.0
4,0,q_4_0,-4697.0
4,1,"q_4_1,q_4_10,q_4_11,q_4_12,q_4_14,q_4_15,q_4_17,q_4_18,q_4_19",-4697.0
4,2,q_4_2,-4697.0
4,3,q_4_3,-4697.0
4,4,q_4_4,-4697.0
4,5,q_4_5,-4697.0
4,7,q_4_7,-4697.0
5,0,q_5_0,-4697.0
5,1,"q_5_1,q_5_10,q_5_11,q_5_12,q_5_14,q_5_16,q_5_17,q_5_19",-4697.0
5,3,q_5_3,-4697.0
5,4,q_5_4,-4697.0
6,1,"q_6_10,q_6_11,q_6_12,q_6_13,q_6_15,q_6_18,q_6_19",-4697.0
6,2,"q_6_2,q_6_20",-4697.0
6,3,q_6_3,-4697.0
6,4,q_6_4,-4697.0
6,5,q_6_5,-4697.0
6,6,q_6_6,-4697.0
6,7,q_6_7,-4697.0
7,0,q_7_0,-4697.0
7,1,"q_7_11,q_7_12,q_7_13,q_7_14,q_7_15,q_7_16,q_7_18,q_7_19",-4697.0
7,2,q_7_2,-4697.0
7,3,q_7_3,-4697.0
7,4,q_7_4,-4697.0
7,5,q_7_5,-4697.0
8,0,q_8_0,-4697.0
